Year,State,Population,GDP
2015,Johor,3610300,110002
2016,Johor,3651800,39550
2017,Johor,3697000,21408
2018,Johor,3749400,36077
2019,Johor,3761200,40186
2020,Johor,4009700,49450
2021,Johor,4020000,63176
2022,Johor,4028300,5353
2023,Johor,4107200,78146
2024,Johor,4184400,73776
2015,Kedah,2096500,121585
2016,Kedah,2119700,268825
2017,Kedah,2143900,31124
2018,Kedah,2163000,180865
2019,Kedah,2173700,5999
2020,Kedah,2131400,116682
2021,Kedah,2151700,41156
2022,Kedah,2163100,22476
2023,Kedah,2189300,37713
2024,Kedah,2217100,41771
2015,Kelantan,1760600,50875
2016,Kelantan,1796700,65958
2017,Kelantan,1829000,5570
2018,Kelantan,1860500,82493
2019,Kelantan,1883800,77518
2020,Kelantan,1792500,124513
2021,Kelantan,1812300,281839
2022,Kelantan,1830600,32133
2023,Kelantan,1859800,191641
2024,Kelantan,1887900,6412
2015,Melaka,889000,123561
2016,Melaka,901100,43067
2017,Melaka,913100,23501
2018,Melaka,922400,40830
2019,Melaka,928400,43816
2020,Melaka,998400,54591
2021,Melaka,1004500,69337
2022,Melaka,1008600,5695
2023,Melaka,1028300,86768
2024,Melaka,1046700,83793
2015,Negeri Sembilan,1088800,130169
2016,Negeri Sembilan,1099300,302186
2017,Negeri Sembilan,1114000,33979
2018,Negeri Sembilan,1122900,206175
2019,Negeri Sembilan,1126200,6790
2020,Negeri Sembilan,1200000,130586
2021,Negeri Sembilan,1204200,44804
2022,Negeri Sembilan,1207900,24143
2023,Negeri Sembilan,1224900,42376
2024,Negeri Sembilan,1239500,45694
2015,Pahang,1607900,56290
2016,Pahang,1626700,73031
2017,Pahang,1647000,5885
2018,Pahang,1664700,91234
2019,Pahang,1671400,85012
2020,Pahang,1591300,133010
2021,Pahang,1601500,323215
2022,Pahang,1614300,34838
2023,Pahang,1643200,220359
2024,Pahang,1667700,7245
2015,Perak,2466900,134226
2016,Perak,2482100,46841
2017,Perak,2493200,25479
2018,Perak,2503500,43583
2019,Perak,2508800,48034
2020,Perak,2496000,58434
2021,Perak,2515800,75993
2022,Perak,2514400,6151
2023,Perak,2541200,94645
2024,Perak,2569400,85642
2015,Perlis,248500,136759
2016,Perlis,251000,345008
2017,Perlis,252000,36001
2018,Perlis,253500,233794
2019,Perlis,254000,7623
2020,Perlis,284900,128074
2021,Perlis,287600,46042
2022,Perlis,289800,25188
2023,Perlis,293100,41030
2024,Perlis,296800,46336
2015,Pulau Pinang,1698100,54885
2016,Pulau Pinang,1717700,74264
2017,Pulau Pinang,1744100,5785
2018,Pulau Pinang,1762800,92691
2019,Pulau Pinang,1768800,77840
2020,Pulau Pinang,1740400,127556
2021,Pulau Pinang,1740000,326805
2022,Pulau Pinang,1740900,33994
2023,Pulau Pinang,1772600,217447
2024,Pulau Pinang,1800500,7613
2015,Sabah,3720500,131243
2016,Sabah,3802800,47505
2017,Sabah,3855900,25782
2018,Sabah,3898400,41872
2019,Sabah,3904400,47787
2020,Sabah,3418800,55440
2021,Sabah,3412600,76901
2022,Sabah,3414900,5867
2023,Sabah,3596700,99124
2024,Sabah,3742000,79000
2015,Sarawak,2701500,131594
2016,Sarawak,2738700,344103
2017,Sarawak,2766300,35236
2018,Sarawak,2791700,219884
2019,Sarawak,2806000,7650
2020,Sarawak,2453700,142734
2021,Sarawak,2465600,51031
2022,Sarawak,2473500,26965
2023,Sarawak,2502300,45590
2024,Sarawak,2517500,50962
2015,Selangor,6178000,61844
2016,Selangor,6291500,80474
2017,Selangor,6380700,6216
2018,Selangor,6475000,112355
2019,Selangor,6506100,82176
2020,Selangor,6994400,140917
2021,Selangor,7014700,385809
2022,Selangor,7050300,37392
2023,Selangor,7209700,241185
2024,Selangor,7362700,7980
2015,Terengganu,1161000,148554
2016,Terengganu,1183400,51877
2017,Terengganu,1208000,27658
2018,Terengganu,1228300,46850
2019,Terengganu,1244500,51912
2020,Terengganu,1149400,64967
2021,Terengganu,1170700,82638
2022,Terengganu,1186600,6338
2023,Terengganu,1210000,115952
2024,Terengganu,1231500,83363
2015,W.P. Kuala Lumpur,1780400,142704
2016,W.P. Kuala Lumpur,1789700,406623
2017,W.P. Kuala Lumpur,1793200,38219
2018,W.P. Kuala Lumpur,1790000,250267
2019,W.P. Kuala Lumpur,1782500,8123
2020,W.P. Kuala Lumpur,1982100,158017
2021,W.P. Kuala Lumpur,1964000,54036
2022,W.P. Kuala Lumpur,1961200,28651
2023,W.P. Kuala Lumpur,2005700,48929
2024,W.P. Kuala Lumpur,2067500,54322
2015,W.P. Labuan,95100,68669
2016,W.P. Labuan,96800,86239
2017,W.P. Labuan,97600,6549
2018,W.P. Labuan,99000,121496
2019,W.P. Labuan,99300,84303
2020,W.P. Labuan,95100,148200
2021,W.P. Labuan,96000,432116
2022,W.P. Labuan,96900,39922
2023,W.P. Labuan,99000,265758
2024,W.P. Labuan,100800,8559
